,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
53,2682688,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,cliente ressalta bom atendimento.,Qualidade do atendimento,Promotor
56,2673991,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Eficiência ,Liberação,Promotor
65,2658342,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O responsável Valterlei sempre foi bem atendido.,Qualidade do atendimento,Promotor
66,2658272,Seguros Sura,Vigia,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que sempre é atendido quando precisa. ,Qualidade do atendimento,Promotor
68,2609775,Porto Seguro,Funilaria Para-lama Traseiro Direito,Carglass,6,Marca da peça utilizada,A cor  do serviço ficou diferente da cor do carro,Comercial/Produtos,Detrator
69,2624594,Porto Seguro,Funilaria Capô,Carglass,0,Indisponibilidade de loja na região,"Moro na segunda capital do estado, onde a prestadora do disponibiliza uma oficina credenciada que por sinal presta um serviço horrível. ",Capilaridade de rede,Detrator
70,2629675,Azul Seguros,Funilaria Porta Dianteira Esquerda,Carglass,6,Indisponibilidade de loja na região,"Fiz negocio com a azul e nao com a carglass.
A rede referenciada no site da azul nao existem.
Ja estou renovando meu seguro com o bradesco pq a azul n cumpriu com o ofertado.",Capilaridade de rede,Detrator
71,2682878,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,2,Agenda não atende a necessidade do cliente,Prazo pediram de 2 a 4 dias entregaram com 9 ,Liberação,Detrator
72,2654560,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,1,Marca da peça utilizada,Pessimo serviço feito pela oficina.,Comercial/Produtos,Detrator
73,2719575,Seguros Sura,Parabrisa,Carglass,8,Atraso na liberação do atendimento,"Em contato com Ailton, ele informou que demorou um pouco no retorno após envio das fotos , informam que entrariam em contato em 04 horas e  entraram em contato somente após 4 dias.
",Liberação,Neutro
75,2700728,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,O fornecedor escolhido não foi bom,Qualidade do atendimento,Neutro
77,2648865,VW Protege,Funilaria Para-Choque Dianteiro,Volkswagen,8,Demora/Dificuldade com a central de atendimento,O 0800 não chama ,Abertura do atendimento,Neutro
79,2586834,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,10,Qualidade do atendimento em geral,"cliente informa que a atendente foi muito solicita, eficiente e rapida.",Qualidade do atendimento,Promotor
84,2592952,Seguros Sura,Farol Esquerdo/Motorista,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e agilidade.,Qualidade do atendimento,Promotor
87,2598002,Porto Seguro,Funilaria Porta Traseira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Victor informa que foi tudo correto.,Qualidade do atendimento,Promotor
88,2713609,Bradesco Seguros,Funilaria Para-lama Traseiro Direito,Carglass,9,Qualidade do atendimento em geral,"Em contato com o cliente, informou que teve  um problema no   agendamento  automatizado . ",Qualidade do atendimento,Promotor
91,2710588,Azul Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Qualidade do atendimento em geral,"Em contato com Josivaldo, ele informou que gostou do trabalho foram atenciosos.",Qualidade do atendimento,Promotor
93,2603667,Porto Seguro,Funilaria Porta Traseira Direita,Carglass,10,Qualidade do atendimento em geral,Foi muito bem atendido,Qualidade do atendimento,Promotor
97,2704450,Porto Seguro,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Deu tudo certo,Qualidade do atendimento,Promotor
98,2609254,HelpS - Santander,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com a cliente Larissa, informou que o atendimento foi ágil, atenderam muito bem, foi simples e sem dificuldades nas etapas de vistoria e eficiente.",Qualidade do atendimento,Promotor
99,2609975,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O responsável Daniel achou o atendimento muito bom e no prazo.,Qualidade do atendimento,Promotor
100,2610077,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente, informou que não teve intercorrências, foi atendida sem burocracia e sem  dificuldades.  Muito rápido.",Qualidade do atendimento,Promotor
107,2617282,Porto Seguro,Funilaria Para-Choque Dianteiro Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Trabalho e excelente,Qualidade do atendimento,Promotor
108,2617521,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Foi bem atendido,Qualidade do atendimento,Promotor
109,2618112,Azul Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,Qualidade do atendimento em geral,excelente atendimento,Qualidade do atendimento,Promotor
110,2619410,Porto Seguro,Tampa traseira,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez. ,Qualidade do atendimento,Promotor
114,2686401,Seguros Sura,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Sdras, informou que foi rápido e fácil. ",Qualidade do atendimento,Promotor
115,2630890,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta agilidade. ,Qualidade do atendimento,Promotor
116,2682051,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento  ,Qualidade do atendimento,Promotor
117,2633055,Bradesco Seguros,Funilaria Capô,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com o cliente, informou que foi rápido e intuitivo, a plataforma que enviou as fotos, foi respondido rapidamente e indicado a loja para o agendamento. ",Qualidade do atendimento,Promotor
119,2636468,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez. ,Qualidade do atendimento,Promotor
121,2677031,Azul Seguros,Funilaria Tampa traseira,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Foi ótima ,Qualidade do atendimento,Promotor
125,2671815,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Gostei do  serviço ,Qualidade do atendimento,Promotor
126,2671602,Leaseplan,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"O cliente Everton achou o atendimento muito rápido, teve uma reposta no mesmo dia.",Qualidade do atendimento,Promotor
127,2670208,Porto Seguro,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente ressalta a facilidade com o agendamento. ,Qualidade do atendimento,Promotor
128,2644471,Porto Seguro,Funilaria Porta Traseira Esquerda,Carglass,10,Rapidez no atendimento e serviço prestado,"Bom atendimento ,qualidade no serviço, sem burocracia .",Qualidade do atendimento,Promotor
129,2669405,ALD Comfort,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Lucas achou o atendimento foi bem fácil.,Qualidade do atendimento,Promotor
132,2648325,ALD Comfort,Retrovisor Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Ocorreu tudo bem!! Com a agilidade que eu precisava no momento. ,Qualidade do atendimento,Promotor
133,2663705,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,ficou muito bom o serviço ,Qualidade do atendimento,Promotor
134,2652154,Bradesco Seguros,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Ótimo atendimento, serviço de qualidade, recomendo a um amigo, parabéns, satisfeito com o servico",Qualidade do atendimento,Promotor
135,2661590,Azul Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Carlos, informou que o atendimento foi bem rápido e proativo ",Qualidade do atendimento,Promotor
138,2655620,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Cliente ressalta que deu tudo certo.,Qualidade do atendimento,Promotor
139,2656904,Porto Seguro,Funilaria Tampa traseira,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento muito bom. Ótimos profissionais.,Qualidade do atendimento,Promotor
140,2613414,Bradesco Seguros,Capa de Retrovisor Esquerdo/Motorista,Carglass,5,Demora/Divergência de informações no momento do atendimento,"cliente informa que houve divergência de informação no ato do atendimento e demora de 10 dias para a liberação. Ela informa que solicitou que os dois serviço (Capa e Lente) fossem feitos na mesma loja e informaram que não tinha essa possibilidade e quando chegou para trocar a capa a loja informou que tinha a lente, o que a deixou chateada. ",Liberação,Detrator
141,2614621,Bradesco Seguros,Lente de Retrovisor Esquerdo/Motorista,Carglass,5,Demora/Divergência de informações no momento do atendimento,"cliente informa que houve divergência de informação no ato do atendimento e demora de 10 dias para a liberação. Ela informa que solicitou que os dois serviço (Capa e Lente) fossem feitos na mesma loja e informaram que não tinha essa possibilidade e quando chegou para trocar a capa a loja informou que tinha a lente, o que a deixou chateada. ",Liberação,Detrator
142,2629152,Bradesco Seguros,Funilaria Para-Choque Dianteiro Esquerdo/Motorista,Carglass,3,Falta de contato/ Falha No Acompanhamento com o cliente,"Não tive uma boa experiência com o atendimento com a funilaria ( GARAGEM38), ",Liberação,Detrator
143,2664330,Bradesco Seguros,Farol Direito/Passageiro,Carglass,3,Mensagens incorretas no WhatsApp,"Vocês me informaram algumas datas disponível para eu fazer o serviço. Eu marco para o dia 16/04, às 08h. Vou para a loja credenciada, no dia e hora marcado e a loja informa que ia fazer a vistoria primeiro, enviar pra vocês, quando tivesse autorizado eu iria trocar. Não concordei e disse que já estava tudo vistoriado e autorizado e eu estava ali para trocar a devida peça. Drpois de muita discussão a empresa mandou seu funcionário  ir comprar a peça e realizou os devidos reparos",Mensageria,Detrator
144,2715465,Azul Seguros,Funilaria Para-Choque Traseiro,Carglass,8,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Jessica, ela informou que o agendamento deu certo e foi rápido. ",Qualidade do atendimento,Neutro
145,2711043,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,O retorno para o agendamento deveria ser mais rápido!,Qualidade do atendimento,Neutro
147,2617747,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,7,A experiência com atendimento e serviço prestado agradou o cliente,Fiz o agendamento quando chegou no dia me informaram que não estava pronto tive que voltar novamente pra o serviço ser feito. ,Qualidade do atendimento,Neutro
148,2684906,ALD Automotive,Parabrisa,Carglass,8,Demora/ Dificuldade de contato com a central de atendimento,Cliente ressalta que teve uma demora no retorno sobre o seu atendimento.,Abertura do atendimento,Neutro
149,2645780,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente, ,Qualidade do atendimento,Neutro
151,2584915,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Foi muito ágil ,Qualidade do atendimento,Promotor
152,2586417,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Foi tudo certinho,Qualidade do atendimento,Promotor
156,2587927,Bradesco Seguros,Farol Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Foi bem atendido,Qualidade do atendimento,Promotor
157,2727316,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente Bruna( filha) informou que , foi bem atendida. 
",Qualidade do atendimento,Promotor
158,2589148,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Foi tudo top,Qualidade do atendimento,Promotor
159,2724149,Bradesco Seguros,Farol Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento ,Qualidade do atendimento,Promotor
160,2722691,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento de qualidade ,Qualidade do atendimento,Promotor
162,2592724,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez ,Qualidade do atendimento,Promotor
164,2718869,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente Elegilda  informou que , atendimento foi ótimo  .
 ",Qualidade do atendimento,Promotor
165,2594704,Bradesco Seguros,Reparo (1 Ponto),Carglass,9,Cliente ressaltou rapidez no atendimento e serviço prestado,A cliente Miriam o atendimento e agendamento foi rápido.,Qualidade do atendimento,Promotor
167,2716683,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Waldemar, ele informou que foi atendido perfeitamente na hora.",Qualidade do atendimento,Promotor
168,2716656,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento e a qualidade do serviço realmente fez toda a diferença. ,Qualidade do atendimento,Promotor
170,2714592,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Odejany, ele informou que foi rápido e a ágil.",Qualidade do atendimento,Promotor
172,2713997,Azul Seguros,Funilaria Porta Traseira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Fiquei muito satisfeito com o serviço e o atendimento ,Qualidade do atendimento,Promotor
173,2599627,Bradesco Seguros,Lanterna Traseira Direita/Passageiro Led,Carglass,10,Qualidade do atendimento em geral,Maravilhosa,Qualidade do atendimento,Promotor
176,2710497,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Boa,Qualidade do atendimento,Promotor
177,2708515,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado, Em contato com o cliente informou que atendimento foi bem rápido .,Qualidade do atendimento,Promotor
179,2707157,Porto Seguro,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Otimo servico,Qualidade do atendimento,Promotor
180,2605966,Azul Seguros,Funilaria Porta Dianteira Direita,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta agilidade. ,Qualidade do atendimento,Promotor
181,2606356,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e praticidade. ,Qualidade do atendimento,Promotor
182,2607339,Bradesco Seguros,Funilaria Porta Traseira Esquerda,Carglass,10,Qualidade do atendimento em geral,A cliente Sandra teve um bom atendimento.,Qualidade do atendimento,Promotor
183,2608067,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"O responsável Marcelo gostou do atendimento, foi muito bom, prazos e horários também.",Qualidade do atendimento,Promotor
187,2609325,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento rapida e na hora marcada ,Qualidade do atendimento,Promotor
188,2610322,Bradesco Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com o cliente, informou  que foi resolvido o problema. ",Qualidade do atendimento,Promotor
190,2611251,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento.,Qualidade do atendimento,Promotor
196,2695430,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta agilidade na abertura do atendimento. ,Qualidade do atendimento,Promotor
199,2620387,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento e rapidez. cliente agradece o acompanhamento e o bom serviço prestado. ,Qualidade do atendimento,Promotor
201,2623743,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com o cliente, informou foi rápido e eficaz . ",Qualidade do atendimento,Promotor
203,2623893,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Agilidade na resolução da solicitação,Qualidade do atendimento,Promotor
204,2625890,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com o cliente, informou que foi bem atendido.",Qualidade do atendimento,Promotor
207,2686568,Azul Seguros,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Alto padrão ,Qualidade do atendimento,Promotor
208,2628897,Bradesco Seguros,Lanterna Traseira Direita/Passageiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente, informou que funcionou bem. ",Qualidade do atendimento,Promotor
209,2684427,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,10,Rapidez no atendimento e serviço prestado,não tive preocupação com o fato ocorrido pois o seguro do veiculo 100% ,Qualidade do atendimento,Promotor
210,2684052,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Alexandro, informou que não teve problemas.",Qualidade do atendimento,Promotor
211,2683696,Bradesco Seguros,Farol Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,Rápidas no Atendimento.,Qualidade do atendimento,Promotor
212,2683663,Bradesco Seguros,Farol Esquerdo/Motorista,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Rapidez no serviço prestado.,Liberação,Promotor
213,2631430,Bradesco Seguros,Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Servico OK,Qualidade do atendimento,Promotor
214,2682350,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que correu tudo dentro dos conformes. ,Qualidade do atendimento,Promotor
215,2681799,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,10,Qualidade do atendimento em geral,"Em contato com Edmar(esposo), informou que gostou da eficiência.",Qualidade do atendimento,Promotor
216,2634331,Bradesco Seguros,Parabrisa,Carglass,10,Rapidez no atendimento e serviço prestado,"foi rápido a resolução do meu problema, ",Qualidade do atendimento,Promotor
218,2634999,Azul Seguros,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Foram muito atenciosos e o serviço ficou perfeito. ,Qualidade do atendimento,Promotor
219,2679166,Arval,Funilaria Porta Traseira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Muito bom e rapido,Qualidade do atendimento,Promotor
222,2676180,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Foi bem rápido o atendimento ,Qualidade do atendimento,Promotor
226,2639757,Azul Seguros,Funilaria Para-Choque Dianteiro Esquerdo/Motorista,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Serviço bem feito. Atendimento muito bom!,Liberação,Promotor
229,2672749,Bradesco Seguros,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento – telefonia e agendamento,muito bom ,Liberação,Promotor
230,2667112,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Excelente atendimento ,Qualidade do atendimento,Promotor
231,2647535,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Pedro, informou que deu tudo certo ecsem problemas.",Qualidade do atendimento,Promotor
233,2665650,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e praticidade na abertura do atendimento.,Qualidade do atendimento,Promotor
237,2652874,Porto Seguro,Funilaria Para-lama Traseiro Esquerdo,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Excelente atendimento, entrega no prazo, trabalho Excelente. Muito satisfeita. ",Qualidade do atendimento,Promotor
238,2660973,Arval,Reparo (1 Ponto),Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"A cliente Alessandra achou que o serviço foi feito em um tempo hábil, conforme programado.",Qualidade do atendimento,Promotor
240,2654069,HelpS - Santander,Funilaria Porta Dianteira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Ótimo prestação de serviços ,Qualidade do atendimento,Promotor
242,2715355,ALD Automotive,Vidro Lateral Esquerdo/Motorista,Carglass,7,Atraso na liberação do atendimento,"Em contato com Nelma, informou que demorou para liberar o serviço. ",Liberação,Neutro
243,2673262,Azul Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Cinthyane, informou que deu tudo certo.",Qualidade do atendimento,Neutro
244,2714169,Seguros Sura,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com o cliente Marcos , informou que queria  na loja em Macapá mandaram pra  Santana a  20  km  .
",Qualidade do atendimento,Promotor
248,2694376,HelpS - Santander,Funilaria Capô,Carglass,10,Qualidade do atendimento em geral,Atendimento bom serviço excelente ,Qualidade do atendimento,Promotor
252,2647970,HelpS - Santander,Funilaria Porta Traseira Esquerda,Carglass,10,Qualidade do atendimento em geral,Agilidade no processo em todos. ,Qualidade do atendimento,Promotor
255,2658392,Porto Seguro,Funilaria Para-Choque Traseiro Direito/Passageiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Boa,Qualidade do atendimento,Promotor
256,2741129,Bradesco Seguros,Parabrisa,Carglass,1,Demora para agendamento,  precima mal  agilidade no serviso,Liberação,Detrator
257,2727363,Ezze Seguros,Parabrisa,Carglass,0,Marca da peça utilizada,O pára-brisa instalado em meu veículo não é o original do carro.,Comercial/Produtos,Detrator
259,2594681,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,1,Falta de contato/ Falha No Acompanhamento com o cliente,"Deixei o carro uma semana na oficina pra realização do serviço. Na data combinada voltei e nem haviam começado a mexer. A justificativa que recebi da recepcionista foi a seguinte: nosso patrão viajou e quando ele viaja os funcionários da oficina não fazem nada.
",Liberação,Detrator
260,2718028,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,6,Falta de contato/ Falha No Acompanhamento com o cliente,Não efetivado o q foi combinado ,Liberação,Detrator
261,2716200,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,6,Demora/Dificuldade com a central de atendimento,Tive alguns perrengues com relação às minhas demandas. Precisei entrar em contato com a Central para reavaliação de uma demanda que claramente não havia necessidade. ,Abertura do atendimento,Detrator
262,2714711,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,3,Marca da peça utilizada,"O serviço não foi adequado e correto. O carro ficou 5 dias na loja e o serviço não foi realizado na aula totalidade. Eu verifiquei hoje, que existe dois risco na lateral da posta traseira que não foi feita.",Comercial/Produtos,Detrator
263,2711448,Bradesco Seguros,Parabrisa,Carglass,5,Problemas/dificuldade com site para abertura do atendimento,"Em contato com cliente informou que, o sistema do site está com muita instabilidade e dando muito erro na hora de  agendar, e só conseguiu no  0800 .",Abertura do atendimento,Detrator
264,2602884,Bradesco Seguros,Parabrisa,Carglass,4,Atraso na liberação do atendimento,cliente informa que houve demora na liberação do atendimento ,Liberação,Detrator
265,2699760,Porto Seguro,Porta Dianteira Esquerda/Motorista,Carglass,0,Demora/Dificuldade com a central de atendimento,Pedi um carro reserva para fazer o serviço de funilaria em meu carro ! E me passaram que este ano não teria direito! Para que ter seguro se não tem como usalo,Abertura do atendimento,Detrator
266,2616133,HelpS - Santander,Funilaria Para-Choque Dianteiro,Carglass,3,Marca da peça utilizada,"Serviço executado defeituoso. Mau feito, pintura com falhas que tera problemas de descasque futuro",Comercial/Produtos,Detrator
267,2621911,Bradesco Seguros,Farol Esquerdo/Motorista,Carglass,6,Demora/Divergência de informações no momento do atendimento,cliente informa que houve demora no atendimento e demora para solução. ,Liberação,Detrator
